                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     57,                 1.1999,                 0.5374,                0.97149,                0.87251,                 0.6715,                0.75163,                0.42921,                 1.2612,                0.50144,                 1.0316,               0.004456,               0.004456,               0.004456
                     58,                  1.186,                0.53121,                0.97007,                0.87408,                0.67214,                0.75183,                0.42957,                 1.2614,                0.50137,                 1.0305,               0.004357,               0.004357,               0.004357
                     59,                 1.1929,                0.53267,                0.97506,                0.87386,                0.67086,                0.75148,                0.42958,                 1.2616,                0.50226,                 1.0324,               0.004258,               0.004258,               0.004258
                     60,                 1.1826,                0.52622,                0.96973,                0.87449,                0.67087,                0.75204,                 0.4299,                 1.2618,                0.50178,                 1.0333,               0.004159,               0.004159,               0.004159
                     61,                 1.1813,                0.52786,                0.97265,                0.87495,                0.67104,                 0.7524,                0.42996,                 1.2624,                0.50191,                 1.0361,                0.00406,                0.00406,                0.00406
                     62,                 1.1724,                0.52253,                 0.9724,                0.87491,                0.67061,                0.75304,                0.42995,                  1.263,                0.50201,                 1.0378,               0.003961,               0.003961,               0.003961
                     63,                 1.1679,                0.52027,                0.97076,                0.87418,                0.67157,                0.75359,                0.43029,                 1.2633,                0.50174,                 1.0399,               0.003862,               0.003862,               0.003862
                     64,                 1.1695,                0.52012,                0.96742,                0.87496,                0.67086,                 0.7536,                0.43027,                 1.2637,                0.50149,                 1.0417,               0.003763,               0.003763,               0.003763
                     65,                 1.1679,                 0.5184,                0.97257,                0.87615,                0.66987,                0.75324,                0.43044,                 1.2644,                0.50141,                 1.0434,               0.003664,               0.003664,               0.003664
                     66,                 1.1703,                0.52044,                0.97161,                0.87495,                0.67227,                 0.7541,                0.43078,                 1.2646,                0.50125,                 1.0439,               0.003565,               0.003565,               0.003565
                     67,                 1.1627,                0.51664,                 0.9698,                0.87471,                0.67253,                0.75455,                0.43102,                 1.2646,                0.50072,                 1.0448,               0.003466,               0.003466,               0.003466
                     68,                 1.1674,                0.51684,                0.96939,                0.87678,                0.67058,                 0.7537,                0.43096,                 1.2649,                0.50064,                 1.0454,               0.003367,               0.003367,               0.003367
                     69,                 1.1642,                0.51354,                0.96553,                0.87629,                0.67059,                0.75322,                 0.4308,                 1.2656,                0.50085,                 1.0457,               0.003268,               0.003268,               0.003268
                     70,                 1.0989,                0.46955,                0.94692,                0.87668,                0.67066,                0.75352,                  0.431,                  1.266,                0.50068,                  1.046,             0.00024143,             0.00024143,             0.00024143
